Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"USB1","U6 SnRNA Biogenesis Phosphodiesterase 1","Protein Coding","Q9BQ65","46","GC16P057999","7.33986186981201","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USB1"
"RIGI","RNA Sensor RIG-I","Protein Coding","O95786","61","GC09M032545","7.33871459960938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIGI"
"MMP8","Matrix Metallopeptidase 8","Protein Coding","P22894","60","GC11M133497","7.33653879165649","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP8"
"KLF2","KLF Transcription Factor 2","Protein Coding","Q9Y5W3","53","GC19P132577","7.33599758148193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF2"
"MCM3","Minichromosome Maintenance Complex Component 3","Protein Coding","P25205","58","GC06M052264","7.3357105255127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM3"
"TERF2IP","TERF2 Interacting Protein","Protein Coding","Q9NYB0","52","GC16P075647","7.33322334289551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERF2IP"
"RPA1","Replication Protein A1","Protein Coding","P27694","59","GC17P001829","7.32955074310303","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPA1"
"RORC","RAR Related Orphan Receptor C","Protein Coding","P51449","55","GC01M151806","7.32492208480835","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RORC"
"CTSC","Cathepsin C","Protein Coding","P53634","60","GC11M133353","7.32446670532227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSC"
"CTSE","Cathepsin E","Protein Coding","P14091","55","GC01M206009","7.32402992248535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSE"
"UFC1","Ubiquitin-Fold Modifier Conjugating Enzyme 1","Protein Coding","Q9Y3C8","50","GC01P161152","7.32390260696411","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UFC1"
"PLG","Plasminogen","Protein Coding","P00747","61","GC06P160702","7.3218731880188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLG"
"HLA-DPA1","Major Histocompatibility Complex, Class II, DP Alpha 1","Protein Coding","P20036","52","GC06M033064","7.32174777984619","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DPA1"
"CTNS","Cystinosin, Lysosomal Cystine Transporter","Protein Coding","O60931","56","GC17P003636","7.32039594650269","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNS"
"LOXL2","Lysyl Oxidase Like 2","Protein Coding","Q9Y4K0","58","GC08M023296","7.31908702850342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOXL2"
"CSE1L","Chromosome Segregation 1 Like","Protein Coding","P55060","53","GC20P049046","7.3189263343811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSE1L"
"FOXN1","Forkhead Box N1","Protein Coding","O15353","52","GC17P028506","7.31653928756714","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXN1"
"ZBTB16","Zinc Finger And BTB Domain Containing 16","Protein Coding","Q05516","55","GC11P114059","7.31597518920898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZBTB16"
"CRBN","Cereblon","Protein Coding","Q96SW2","58","GC03M003144","7.31540107727051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRBN"
"F2R","Coagulation Factor II Thrombin Receptor","Protein Coding","P25116","58","GC05P076716","7.31316566467285","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2R"
"PCSK9","Proprotein Convertase Subtilisin/Kexin Type 9","Protein Coding","Q8NBP7","62","GC01P055039","7.30974864959717","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK9"
"CUL4A","Cullin 4A","Protein Coding","Q13619","56","GC13P113208","7.30829334259033","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUL4A"
"TERF1","Telomeric Repeat Binding Factor 1","Protein Coding","P54274","55","GC08P073008","7.30675935745239","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERF1"
"CTRC","Chymotrypsin C","Protein Coding","Q99895","56","GC01P015438","7.30231857299805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTRC"
"CD99L2","CD99 Molecule Like 2","Protein Coding","Q8TCZ2","46","GC0XM150766","7.30137920379639","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD99L2"
"CDK5","Cyclin Dependent Kinase 5","Protein Coding","Q00535","65","GC07M151053","7.29679679870605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5"
"ADAMTS3","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 3","Protein Coding","O15072","52","GC04M072280","7.2951831817627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS3"
"GJB6","Gap Junction Protein Beta 6","Protein Coding","O95452","54","GC13M020221","7.29367446899414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJB6"
"USF1","Upstream Transcription Factor 1","Protein Coding","P22415","55","GC01M161039","7.29064655303955","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USF1"
"NOX4","NADPH Oxidase 4","Protein Coding","Q9NPH5","55","GC11M089324","7.28937721252441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOX4"
"DHX9","DExH-Box Helicase 9","Protein Coding","Q08211","56","GC01P182839","7.28372859954834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHX9"
"MCM4","Minichromosome Maintenance Complex Component 4","Protein Coding","P33991","60","GC08P047975","7.28210735321045","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM4"
"KDM6B","Lysine Demethylase 6B","Protein Coding","O15054","57","GC17P007834","7.27968835830688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM6B"
"PTPRD","Protein Tyrosine Phosphatase Receptor Type D","Protein Coding","P23468","58","GC09M008307","7.27560472488403","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRD"
"KIF5B","Kinesin Family Member 5B","Protein Coding","P33176","59","GC10M036382","7.27240037918091","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF5B"
"IL17RA","Interleukin 17 Receptor A","Protein Coding","Q96F46","59","GC22P080745","7.26911497116089","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17RA"
"BID","BH3 Interacting Domain Death Agonist","Protein Coding","P55957","58","GC22M017734","7.26288223266602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BID"
"AGER","Advanced Glycosylation End-Product Specific Receptor","Protein Coding","Q15109","59","GC06M032180","7.25809621810913","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGER"
"CFB","Complement Factor B","Protein Coding","P00751","59","GC06P031945","7.25600099563599","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFB"
"MLXIPL","MLX Interacting Protein Like","Protein Coding","Q9NP71","55","GC07M073593","7.25473785400391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLXIPL"
"H1-3","H1.3 Linker Histone, Cluster Member","Protein Coding","P16402","50","GC06M101372","7.24974727630615","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H1-3"
"NAMPT","Nicotinamide Phosphoribosyltransferase","Protein Coding","P43490","60","GC07M106248","7.248122215271","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAMPT"
"UCHL1","Ubiquitin C-Terminal Hydrolase L1","Protein Coding","P09936","65","GC04P041256","7.24469327926636","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCHL1"
"SLC2A3","Solute Carrier Family 2 Member 3","Protein Coding","P11169","61","GC12M007919","7.24462604522705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A3"
"HOXA10","Homeobox A10","Protein Coding","P31260","52","GC07M028125","7.2435941696167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXA10"
"LRRFIP2","LRR Binding FLII Interacting Protein 2","Protein Coding","Q9Y608","50","GC03M037052","7.23031902313232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRFIP2"
"STXBP2","Syntaxin Binding Protein 2","Protein Coding","Q15833","56","GC19P132125","7.22929573059082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STXBP2"
"CRAT","Carnitine O-Acetyltransferase","Protein Coding","P43155","58","GC09M129094","7.22600555419922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRAT"
"KCNJ11","Potassium Inwardly Rectifying Channel Subfamily J Member 11","Protein Coding","Q14654","58","GC11M018031","7.2243766784668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ11"
"PLAGL1","PLAG1 Like Zinc Finger 1","Protein Coding","Q9UM63","56","GC06M143940","7.21895265579224","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAGL1"
"DVL1","Dishevelled Segment Polarity Protein 1","Protein Coding","O14640","60","GC01M001335","7.21182537078857","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DVL1"
"NR1D1","Nuclear Receptor Subfamily 1 Group D Member 1","Protein Coding","P20393","59","GC17M040092","7.20821380615234","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1D1"
"KRT13","Keratin 13","Protein Coding","P13646","55","GC17M041500","7.20770215988159","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT13"
"SCN4A","Sodium Voltage-Gated Channel Alpha Subunit 4","Protein Coding","P35499","58","GC17M063938","7.19781398773193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN4A"
"SLC9A1","Solute Carrier Family 9 Member A1","Protein Coding","P19634","62","GC01M032272","7.18515110015869","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC9A1"
"B3GALT6","Beta-1,3-Galactosyltransferase 6","Protein Coding","Q96L58","51","GC01P001232","7.18495273590088","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B3GALT6"
"AIFM1","Apoptosis Inducing Factor Mitochondria Associated 1","Protein Coding","O95831","63","GC0XM130129","7.18472671508789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIFM1"
"EBF1","EBF Transcription Factor 1","Protein Coding","Q9UH73","54","GC05M158695","7.1773738861084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EBF1"
"CECR7","Cat Eye Syndrome Chromosome Region, Candidate 7","RNA Gene","","23","GC22P080740","7.1758918762207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CECR7"
"TNS1","Tensin 1","Protein Coding","Q9HBL0","52","GC02M217799","7.17578601837158","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNS1"
"ELK1","ETS Transcription Factor ELK1","Protein Coding","P19419","58","GC0XM047635","7.17465019226074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELK1"
"HNRNPA1","Heterogeneous Nuclear Ribonucleoprotein A1","Protein Coding","P09651","60","GC12P054280","7.17067241668701","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA1"
"DKK3","Dickkopf WNT Signaling Pathway Inhibitor 3","Protein Coding","Q9UBP4","52","GC11M013700","7.17048025131226","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DKK3"
"DRD2","Dopamine Receptor D2","Protein Coding","P14416","62","GC11M113409","7.16716289520264","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD2"
"CLPB","ClpB Family Mitochondrial Disaggregase","Protein Coding","Q9H078","56","GC11M133042","7.16569805145264","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLPB"
"PRSS8","Serine Protease 8","Protein Coding","Q16651","57","GC16M045829","7.16168212890625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRSS8"
"ACKR3","Atypical Chemokine Receptor 3","Protein Coding","P25106","53","GC02P236537","7.16036748886108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACKR3"
"KRIT1","KRIT1 Ankyrin Repeat Containing","Protein Coding","O00522","54","GC07M092198","7.15584993362427","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRIT1"
"RPS26","Ribosomal Protein S26","Protein Coding","P62854","55","GC12P065353","7.15105056762695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS26"
"MS4A1","Membrane Spanning 4-Domains A1","Protein Coding","P11836","58","GC11P098544","7.14417314529419","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MS4A1"
"MINCR","MYC-Induced Long Non-Coding RNA","RNA Gene","","19","GC08M146889","7.14335203170776","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MINCR"
"CETP","Cholesteryl Ester Transfer Protein","Protein Coding","P11597","59","GC16P056961","7.14213609695435","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CETP"
"IGF2BP1","Insulin Like Growth Factor 2 MRNA Binding Protein 1","Protein Coding","Q9NZI8","53","GC17P134060","7.14071369171143","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2BP1"
"PRKAA2","Protein Kinase AMP-Activated Catalytic Subunit Alpha 2","Protein Coding","P54646","62","GC01P056645","7.14051675796509","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAA2"
"BTNL2","Butyrophilin Like 2","Protein Coding","Q9UIR0","52","GC06M032393","7.1404972076416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTNL2"
"ATP1A1","ATPase Na+/K+ Transporting Subunit Alpha 1","Protein Coding","P05023","62","GC01P116372","7.13620090484619","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1A1"
"CEP290","Centrosomal Protein 290","Protein Coding","O15078","52","GC12M088049","7.13450241088867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP290"
"MAGI2","Membrane Associated Guanylate Kinase, WW And PDZ Domain Containing 2","Protein Coding","Q86UL8","54","GC07M078017","7.13364696502686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGI2"
"MIR1207","MicroRNA 1207","RNA Gene","","25","GC08P128049","7.12870693206787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1207"
"SAA1","Serum Amyloid A1","Protein Coding","P0DJI8","51","GC11P019454","7.12829303741455","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAA1"
"WASHC5","WASH Complex Subunit 5","Protein Coding","Q12768","51","GC08M137190","7.12535095214844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WASHC5"
"ARRB2","Arrestin Beta 2","Protein Coding","P32121","57","GC17P132513","7.12058544158936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARRB2"
"TRAF6","TNF Receptor Associated Factor 6","Protein Coding","Q9Y4K3","59","GC11M036467","7.11987590789795","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF6"
"NKX2-1-AS1","NKX2-1 Antisense RNA 1","RNA Gene","","18","GC14P036519","7.11944055557251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-1-AS1"
"TRC-GCA24-1","TRNA-Cys (GCA) 24-1","RNA Gene","","15","GC17M089223","7.1163911819458","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRC-GCA24-1"
"MIR513A1","MicroRNA 513a-1","RNA Gene","","24","GC0XM147213","7.11137533187866","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR513A1"
"KCTD13","Potassium Channel Tetramerization Domain Containing 13","Protein Coding","Q8WZ19","48","GC16M029905","7.1093430519104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCTD13"
"MIR362","MicroRNA 362","RNA Gene","","24","GC0XP059333","7.10706758499146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR362"
"RSPO2","R-Spondin 2","Protein Coding","Q6UXX9","55","GC08M107899","7.10597229003906","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RSPO2"
"LTF","Lactotransferrin","Protein Coding","P02788","58","GC03M046435","7.1057186126709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTF"
"GPX4","Glutathione Peroxidase 4","Protein Coding","P36969","59","GC19P001103","7.10500764846802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX4"
"TXNRD1","Thioredoxin Reductase 1","Protein Coding","Q16881","56","GC12P104215","7.10380744934082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNRD1"
"CCR3","C-C Motif Chemokine Receptor 3","Protein Coding","P51677","57","GC03P061350","7.10261535644531","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR3"
"NIBAN1","Niban Apoptosis Regulator 1","Protein Coding","Q9BZQ8","44","GC01M186373","7.09953784942627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NIBAN1"
"FOXCUT","FOXC1 Upstream Transcript","RNA Gene","","20","GC06P001668","7.0985803604126","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXCUT"
"CD2","CD2 Molecule","Protein Coding","P06729","56","GC01P116754","7.09410095214844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD2"
"PLEK2","Pleckstrin 2","Protein Coding","Q9NYT0","49","GC14M067386","7.09260082244873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEK2"
"MYH8","Myosin Heavy Chain 8","Protein Coding","P13535","51","GC17M010390","7.08452892303467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH8"
"BAG3","BAG Cochaperone 3","Protein Coding","O95817","55","GC10P119651","7.08378028869629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG3"
"MIR147A","MicroRNA 147a","RNA Gene","","24","GC09M120244","7.08282899856567","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR147A"
"DMTF1","Cyclin D Binding Myb Like Transcription Factor 1","Protein Coding","Q9Y222","45","GC07P090868","7.08265447616577","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMTF1"
"NR2C2","Nuclear Receptor Subfamily 2 Group C Member 2","Protein Coding","P49116","55","GC03P014947","7.08250570297241","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR2C2"
"STK33","Serine/Threonine Kinase 33","Protein Coding","Q9BYT3","52","GC11M013592","7.08232831954956","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK33"
"ALOX5","Arachidonate 5-Lipoxygenase","Protein Coding","P09917","62","GC10P045374","7.08016204833984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX5"
"ATF4","Activating Transcription Factor 4","Protein Coding","P18848","60","GC22P039519","7.07893991470337","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF4"
"AFAP1","Actin Filament Associated Protein 1","Protein Coding","Q8N556","50","GC04M007758","7.07436466217041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFAP1"
"RYR1","Ryanodine Receptor 1","Protein Coding","P21817","61","GC19P132993","7.07135725021362","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR1"
"ALDH9A1","Aldehyde Dehydrogenase 9 Family Member A1","Protein Coding","P49189","54","GC01M165690","7.0704345703125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH9A1"
"MMP16","Matrix Metallopeptidase 16","Protein Coding","P51512","58","GC08M088032","7.06606864929199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP16"
"RORA","RAR Related Orphan Receptor A","Protein Coding","P35398","61","GC15M060488","7.06518411636353","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RORA"
"EPHA5","EPH Receptor A5","Protein Coding","P54756","58","GC04M065319","7.06501531600952","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA5"
"VCAN","Versican","Protein Coding","P13611","59","GC05P083471","7.06207084655762","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAN"
"FBXO31","F-Box Protein 31","Protein Coding","Q5XUX0","48","GC16M087326","7.05039548873901","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXO31"
"EIF4A1","Eukaryotic Translation Initiation Factor 4A1","Protein Coding","P60842","59","GC17P007572","7.04469728469849","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4A1"
"AKAP1","A-Kinase Anchoring Protein 1","Protein Coding","Q92667","53","GC17P057085","7.04397106170654","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP1"
"CA3-AS1","CA3 Antisense RNA 1","RNA Gene","","20","GC08M085442","7.04383993148804","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA3-AS1"
"DNAH1","Dynein Axonemal Heavy Chain 1","Protein Coding","Q9P2D7","46","GC03P061631","7.04181814193726","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAH1"
"DCAF17","DDB1 And CUL4 Associated Factor 17","Protein Coding","Q5H9S7","51","GC02P171434","7.0397686958313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCAF17"
"HAND1","Heart And Neural Crest Derivatives Expressed 1","Protein Coding","O96004","52","GC05M154475","7.03661727905273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAND1"
"TTN","Titin","Protein Coding","Q8WZ42","61","GC02M178525","7.03551959991455","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTN"
"CLDN3","Claudin 3","Protein Coding","O15551","54","GC07M073768","7.03318548202515","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN3"
"CCL20","C-C Motif Chemokine Ligand 20","Protein Coding","P78556","54","GC02P227846","7.02980327606201","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL20"
"GLIS2","GLIS Family Zinc Finger 2","Protein Coding","Q9BZE0","50","GC16P104120","7.02921867370605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLIS2"
"LYVE1","Lymphatic Vessel Endothelial Hyaluronan Receptor 1","Protein Coding","Q9Y5Y7","54","GC11M013661","7.02618408203125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LYVE1"
"GLT1D1","Glycosyltransferase 1 Domain Containing 1","Protein Coding","Q96MS3","40","GC12P128853","7.02338647842407","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLT1D1"
"RHOC","Ras Homolog Family Member C","Protein Coding","P08134","54","GC01M112701","7.01552534103394","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOC"
"C14orf132","Chromosome 14 Open Reading Frame 132","Protein Coding","Q9NPU4","29","GC14P096064","7.01126527786255","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C14orf132"
"HMBS","Hydroxymethylbilane Synthase","Protein Coding","P08397","57","GC11P119084","7.00779867172241","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMBS"
"G6PC3","Glucose-6-Phosphatase Catalytic Subunit 3","Protein Coding","Q9BUM1","53","GC17P044070","7.00464820861816","https://www.genecards.org/cgi-bin/carddisp.pl?gene=G6PC3"
"CTNNA3","Catenin Alpha 3","Protein Coding","Q9UI47","54","GC10M065912","7.00333166122437","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNA3"
"CD38","CD38 Molecule","Protein Coding","P28907","59","GC04P026843","6.998291015625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD38"
"KDM4C","Lysine Demethylase 4C","Protein Coding","Q9H3R0","54","GC09P006720","6.99394750595093","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM4C"
"CDH16","Cadherin 16","Protein Coding","O75309","51","GC16M066908","6.99017286300659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH16"
"MT2A","Metallothionein 2A","Protein Coding","P02795","54","GC16P105567","6.98942041397095","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT2A"
"LRP1","LDL Receptor Related Protein 1","Protein Coding","Q07954","61","GC12P057128","6.98604869842529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP1"
"PDIA3","Protein Disulfide Isomerase Family A Member 3","Protein Coding","P30101","56","GC15P043746","6.985267162323","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDIA3"
"PSME3","Proteasome Activator Subunit 3","Protein Coding","P61289","52","GC17P042824","6.98109912872314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSME3"
"TPCN1","Two Pore Segment Channel 1","Protein Coding","Q9ULQ1","45","GC12P113221","6.97993612289429","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPCN1"
"PRKD1","Protein Kinase D1","Protein Coding","Q15139","62","GC14M029576","6.97800922393799","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKD1"
"WWP1","WW Domain Containing E3 Ubiquitin Protein Ligase 1","Protein Coding","Q9H0M0","50","GC08P086342","6.97485542297363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WWP1"
"IGFBP4","Insulin Like Growth Factor Binding Protein 4","Protein Coding","P22692","56","GC17P040443","6.9701623916626","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP4"
"TNXB","Tenascin XB","Protein Coding","P22105","56","GC06M100327","6.9695897102356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNXB"
"TMSB10","Thymosin Beta 10","Protein Coding","P63313","48","GC02P084905","6.96575355529785","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMSB10"
"RLIM","Ring Finger Protein, LIM Domain Interacting","Protein Coding","Q9NVW2","50","GC0XM074821","6.96559715270996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RLIM"
"MYO5A","Myosin VA","Protein Coding","Q9Y4I1","56","GC15M156997","6.95786571502686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO5A"
"ARC","Activity Regulated Cytoskeleton Associated Protein","Protein Coding","Q7LC44","49","GC08M142611","6.9530725479126","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARC"
"LUC7L2","LUC7 Like 2, Pre-MRNA Splicing Factor","Protein Coding","Q9Y383","48","GC07P140212","6.95007514953613","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LUC7L2"
"RPL15","Ribosomal Protein L15","Protein Coding","P61313","56","GC03P023916","6.94387102127075","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL15"
"SELL","Selectin L","Protein Coding","P14151","55","GC01M169690","6.94338798522949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELL"
"GTF2I","General Transcription Factor IIi","Protein Coding","P78347","53","GC07P090609","6.94182205200195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2I"
"PCGF2","Polycomb Group Ring Finger 2","Protein Coding","P35227","51","GC17M038733","6.93756866455078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCGF2"
"H3-7","H3.7 Histone (Putative)","Protein Coding","Q5TEC6","31","GC01M164452","6.93540954589844","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3-7"
"PGR-AS1","PGR Antisense RNA 1","RNA Gene","","19","GC11P101136","6.9346227645874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGR-AS1"
"ORAI1","ORAI Calcium Release-Activated Calcium Modulator 1","Protein Coding","Q96D31","57","GC12P136103","6.93205738067627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ORAI1"
"ARG1","Arginase 1","Protein Coding","P05089","62","GC06P158145","6.92844676971436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARG1"
"MIR708","MicroRNA 708","RNA Gene","","27","GC11M079402","6.9256420135498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR708"
"MLC1","Modulator Of VRAC Current 1","Protein Coding","Q15049","52","GC22M050059","6.9231538772583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLC1"
"SFTA1P","Surfactant Associated 1, LncRNA","Pseudogene","","23","GC10M010784","6.92302370071411","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTA1P"
"CARMIL2","Capping Protein Regulator And Myosin 1 Linker 2","Protein Coding","Q6F5E8","47","GC16P067644","6.91583108901978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARMIL2"
"NFE2","Nuclear Factor, Erythroid 2","Protein Coding","Q16621","54","GC12M054292","6.91582870483398","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2"
"COX5A","Cytochrome C Oxidase Subunit 5A","Protein Coding","P20674","56","GC15M074919","6.91332340240479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX5A"
