drugbank_id,name,target_name,polypeptide_id,gene_name
DB00464,Sodium tetradecyl sulfate,Vitamin K-dependent protein C|Vitamin K-dependent protein S|,P04070|P07225|,PROC|PROS1|
DB00465,Ketorolac,Prostaglandin G/H synthase 2|Prostaglandin G/H synthase 1|,P35354|P23219|,PTGS2|PTGS1|
DB00466,Picrotoxin,Gamma-aminobutyric acid receptor subunit rho-1|Gamma-aminobutyric acid receptor subunit alpha-1|Glycine receptor subunit alpha-2|Glycine receptor subunit alpha-3|Glycine receptor subunit alpha-1|,P24046|P14867|P23416|O75311|P23415|,GABRR1|GABRA1|GLRA2|GLRA3|GLRA1|
DB00467,Enoxacin,DNA topoisomerase 2-alpha|,P11388|,TOP2A|
DB00468,Quinine,Platelet glycoprotein IX|Intermediate conductance calcium-activated potassium channel protein 4|,P14770|O15554|,GP9|KCNN4|
DB00469,Tenoxicam,Prostaglandin G/H synthase 2|Prostaglandin G/H synthase 1|,P35354|P23219|,PTGS2|PTGS1|
DB00470,Dronabinol,Cannabinoid receptor 1|Cannabinoid receptor 2|,P21554|P34972|,CNR1|CNR2|
DB00471,Montelukast,Cysteinyl leukotriene receptor 1|Arachidonate 5-lipoxygenase|,Q9Y271|P09917|,CYSLTR1|ALOX5|
DB00472,Fluoxetine,Sodium-dependent serotonin transporter|5-hydroxytryptamine receptor 2C|Neuronal acetylcholine receptor subunit alpha-2|Neuronal acetylcholine receptor subunit alpha-3|Neuronal acetylcholine receptor subunit beta-4|Cyclin-dependent kinases regulatory subunit 1|Potassium voltage-gated channel subfamily H member 2|,P31645|P28335|Q15822|P32297|P30926|P61024|Q12809|,SLC6A4|HTR2C|CHRNA2|CHRNA3|CHRNB4|CKS1B|KCNH2|
DB00473,Hexylcaine,Sodium channel protein type 5 subunit alpha|Sodium channel protein type 10 subunit alpha|,Q14524|Q9Y5Y9|,SCN5A|SCN10A|
DB00474,Methohexital,Gamma-aminobutyric acid receptor subunit alpha-1|,P14867|,GABRA1|
DB00475,Chlordiazepoxide,GABA(A) Receptor|GABA(A) Receptor Benzodiazepine Binding Site|,P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88|P14867|P47869|P34903|P31644|Q8N1C3|P18507|Q99928|,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GABRA1|GABRA2|GABRA3|GABRA5|GABRG1|GABRG2|GABRG3|
DB00476,Duloxetine,Sodium-dependent serotonin transporter|Sodium-dependent noradrenaline transporter|Sodium-dependent dopamine transporter|,P31645|P23975|Q01959|,SLC6A4|SLC6A2|SLC6A3|
DB00477,Chlorpromazine,Dopamine D2 receptor|Dopamine D1 receptor|5-hydroxytryptamine receptor 1A|5-hydroxytryptamine receptor 2A|Alpha-1A adrenergic receptor|Alpha-1B adrenergic receptor|Histamine H1 receptor|Potassium voltage-gated channel subfamily H member 2|D(1) dopamine receptor|Dopamine D3 receptor|Dopamine D4 receptor|Dopamine D5 receptor|5-hydroxytryptamine receptor 2C|5-hydroxytryptamine 2 receptor|Alpha-1 adrenergic receptors|Alpha-2 adrenergic receptors|Muscarinic acetylcholine receptor M1|Muscarinic acetylcholine receptor M3|Sphingomyelin phosphodiesterase|Calmodulin|alpha1-acid glycoprotein|5-hydroxytryptamine receptor 6|5-hydroxytryptamine receptor 7|Histamine H4 receptor|,P14416|P21728|P08908|P28223|P35348|P35368|P35367|Q12809|P21728|P21918|P35462|P21917|P21918|P28335|P28223|P41595|P28335|P35348|P35368|P25100|P08913|P18089|P18825|P11229|P20309|P17405|P0DP23|P02763|P19652|P50406|P34969|Q9H3N8|,DRD2|DRD1|HTR1A|HTR2A|ADRA1A|ADRA1B|HRH1|KCNH2|DRD1|DRD5|DRD3|DRD4|DRD5|HTR2C|HTR2A|HTR2B|HTR2C|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM3|SMPD1|CALM1|ORM1|ORM2|HTR6|HTR7|HRH4|
DB00478,Rimantadine,,,
DB00479,Amikacin,,,
DB00480,Lenalidomide,Protein cereblon|Tumor necrosis factor ligand superfamily member 11|Cadherin-5|Prostaglandin G/H synthase 2|,Q96SW2|O14788|P33151|P35354|,CRBN|TNFSF11|CDH5|PTGS2|
DB00481,Raloxifene,Estrogen receptor alpha|Estrogen receptor beta|Serpin B9|Trefoil factor 1|,P03372|Q92731|P50453|P04155|,ESR1|ESR2|SERPINB9|TFF1|
DB00482,Celecoxib,Prostaglandin G/H synthase 2|3-phosphoinositide-dependent protein kinase 1|Carbonic anhydrase 2|Carbonic anhydrase 3|Cadherin-11|,P35354|O15530|P00918|P07451|,PTGS2|PDPK1|CA2|CA3|
DB00483,Gallamine triethiodide,Muscarinic acetylcholine receptor M2|Acetylcholinesterase|Neuronal acetylcholine receptor subunit alpha-2|Muscarinic acetylcholine receptor M1|Muscarinic acetylcholine receptor M5|,P08172|P22303|Q15822|P11229|P08912|,CHRM2|ACHE|CHRNA2|CHRM1|CHRM5|
DB00484,Brimonidine,Alpha-2A adrenergic receptor|Alpha-2B adrenergic receptor|Alpha-2C adrenergic receptor|,P08913|P18089|P18825|,ADRA2A|ADRA2B|ADRA2C|
DB00485,Dicloxacillin,,,
DB00486,Nabilone,Cannabinoid receptor 2|Cannabinoid receptor 1|,P34972|P21554|,CNR2|CNR1|
DB00487,Pefloxacin,DNA topoisomerase 2-alpha|,P11388|,TOP2A|
DB00488,Altretamine,DNA|,,
DB00489,Sotalol,Potassium voltage-gated channel subfamily H member 2|Beta-1 adrenergic receptor|Beta-2 adrenergic receptor|,Q12809|P08588|P07550|,KCNH2|ADRB1|ADRB2|
DB00490,Buspirone,5-hydroxytryptamine receptor 1A|Dopamine D2 receptor|Dopamine D3 receptor|Dopamine D4 receptor|Alpha-1 adrenergic receptors|,P08908|P14416|P35462|P21917|P35348|P35368|P25100|,HTR1A|DRD2|DRD3|DRD4|ADRA1A|ADRA1B|ADRA1D|
DB00491,Miglitol,"Maltase-glucoamylase, intestinal|Lysosomal alpha-glucosidase|Neutral alpha-glucosidase AB|Neutral alpha-glucosidase C|",O43451|P10253|Q14697|Q8TET4|,MGAM|GAA|GANAB|GANC|
DB00492,Fosinopril,Angiotensin-converting enzyme|,P12821|,ACE|
DB00493,Cefotaxime,Solute carrier family 22 member 6|Solute carrier family 22 member 8|Solute carrier family 22 member 11|Solute carrier family 22 member 7|Solute carrier family 15 member 1|Serum albumin|Solute carrier family 15 member 2|,Q4U2R8|Q8TCC7|Q9NSA0|Q9Y694|P46059|P02768|Q16348|,SLC22A6|SLC22A8|SLC22A11|SLC22A7|SLC15A1|ALB|SLC15A2|
DB00494,Entacapone,Catechol O-methyltransferase|,P21964|,COMT|
DB00495,Zidovudine,Telomerase reverse transcriptase|,O14746|,TERT|
DB00496,Darifenacin,Muscarinic acetylcholine receptor M3|Muscarinic acetylcholine receptor M1|Muscarinic acetylcholine receptor M2|Muscarinic acetylcholine receptor M4|Muscarinic acetylcholine receptor M5|,P20309|P11229|P08172|P08173|P08912|,CHRM3|CHRM1|CHRM2|CHRM4|CHRM5|
DB00497,Oxycodone,Mu-type opioid receptor|Kappa-type opioid receptor|Delta-type opioid receptor|,P35372|P41145|P41143|,OPRM1|OPRK1|OPRD1|
DB00498,Phenindione,Vitamin K epoxide reductase complex subunit 1|,Q9BQB6|,VKORC1|
DB00499,Flutamide,Androgen receptor|Aryl hydrocarbon receptor|Nuclear receptor subfamily 1 group I member 2|,P10275|P35869|O75469|,AR|AHR|NR1I2|
DB00500,Tolmetin,Prostaglandin G/H synthase 2|Prostaglandin G/H synthase 1|,P35354|P23219|,PTGS2|PTGS1|
DB00501,Cimetidine,Histamine H2 receptor|,P25021|,HRH2|
DB00502,Haloperidol,"Dopamine D2 receptor|Dopamine D1 receptor|Glutamate receptor ionotropic, NMDA 2B|5-hydroxytryptamine receptor 2A|Dopamine D3 receptor|Melanin-concentrating hormone receptor 1|Synaptic vesicular amine transporter|5-hydroxytryptamine receptor 2C|Sigma non-opioid intracellular receptor 1|Histamine H1 receptor|Muscarinic acetylcholine receptor M3|Alpha-1A adrenergic receptor|Alpha-2A adrenergic receptor|Alpha-2B adrenergic receptor|Alpha-2C adrenergic receptor|5-hydroxytryptamine receptor 1A|5-hydroxytryptamine receptor 6|5-hydroxytryptamine receptor 7|",P14416|P21728|Q13224|P28223|P35462|Q99705|Q05940|P28335|Q99720|P35367|P20309|P35348|P08913|P18089|P18825|P08908|P50406|P34969|,DRD2|DRD1|GRIN2B|HTR2A|DRD3|MCHR1|SLC18A2|HTR2C|SIGMAR1|HRH1|CHRM3|ADRA1A|ADRA2A|ADRA2B|ADRA2C|HTR1A|HTR6|HTR7|
DB00503,Ritonavir,Nuclear receptor subfamily 1 group I member 2|,O75469|,NR1I2|
DB00504,Levallorphan,Mu-type opioid receptor|,P35372|,OPRM1|
DB00505,Tridihexethyl,Muscarinic acetylcholine receptor M3|Muscarinic acetylcholine receptor M1|Muscarinic acetylcholine receptor M2|,P20309|P11229|P08172|,CHRM3|CHRM1|CHRM2|
DB00507,Nitazoxanide,,,
DB00508,Triflupromazine,Dopamine D2 receptor|Dopamine D1 receptor|5-hydroxytryptamine receptor 2B|Muscarinic acetylcholine receptor M1|Muscarinic acetylcholine receptor M2|,P14416|P21728|P41595|P11229|P08172|,DRD2|DRD1|HTR2B|CHRM1|CHRM2|
DB00509,Dextrothyroxine,Thyroid hormone receptor alpha|Thyroid hormone receptor beta|Thyroid peroxidase|,P10827|P10828|P07202|,THRA|THRB|TPO|
DB00511,Acetyldigitoxin,Sodium/potassium-transporting ATPase subunit alpha-1|,P05023|,ATP1A1|
DB00512,Vancomycin,,,
DB00513,Aminocaproic acid,Plasminogen|Tissue-type plasminogen activator|Apolipoprotein(a)|,P00747|P00750|P08519|,PLG|PLAT|LPA|
DB00514,Dextromethorphan,"Sigma non-opioid intracellular receptor 1|HCG20471, isoform CRA_c|Neuronal acetylcholine receptor subunit alpha-2|Glutamate receptor ionotropic, NMDA 3A|Sodium-dependent serotonin transporter|Membrane-associated progesterone receptor component 1|Neuronal acetylcholine receptor subunit alpha-3|Neuronal acetylcholine receptor subunit alpha-4|Neuronal acetylcholine receptor subunit beta-4|Neuronal acetylcholine receptor subunit beta-2|Neuronal acetylcholine receptor subunit alpha-7|Mu-type opioid receptor|Delta-type opioid receptor|Kappa-type opioid receptor|NADPH oxidase|Sodium-dependent noradrenaline transporter|",Q99720|Q15822|Q8TCU5|P31645|O00264|P32297|P43681|P30926|P17787|P36544|P35372|P41143|P41145|P04839|P13498|P14598|P19878|Q15080|P63000|P15153|P23975|,SIGMAR1|CHRNA2|GRIN3A|SLC6A4|PGRMC1|CHRNA3|CHRNA4|CHRNB4|CHRNB2|CHRNA7|OPRM1|OPRD1|OPRK1|CYBB|CYBA|NCF1|NCF2|NCF4|RAC1|RAC2|SLC6A2|
DB00515,Cisplatin,DNA|DNA-3-methyladenine glycosylase|Alpha-2-macroglobulin|Serotransferrin|Copper transport protein ATOX1|,P29372|P01023|P02787|O00244|,MPG|A2M|TF|ATOX1|
DB00516,Bentoquatam,,,
DB00517,Anisotropine methylbromide,Muscarinic acetylcholine receptor M1|Muscarinic acetylcholine receptor M2|Muscarinic acetylcholine receptor M3|,P11229|P08172|P20309|,CHRM1|CHRM2|CHRM3|
DB00518,Albendazole,Tubulin alpha-1A chain|Tubulin beta-4B chain|,Q71U36|P68371|,TUBA1A|TUBB4B|
DB00519,Trandolapril,Angiotensin-converting enzyme|,P12821|,ACE|
DB00520,Caspofungin,,,
DB00521,Carteolol,Beta-2 adrenergic receptor|Beta-1 adrenergic receptor|,P07550|P08588|,ADRB2|ADRB1|
DB00522,Bentiromide,Serine protease hepsin|,P05981|,HPN|
DB00523,Alitretinoin,Retinoic acid receptor alpha|Retinoic acid receptor RXR-alpha|Retinoic acid receptor beta|Retinoic acid receptor RXR-beta|Retinoic acid receptor gamma|Retinoic acid receptor RXR-gamma|Insulin-like growth factor-binding protein 3|Pregnancy-specific beta-1-glycoprotein 5|Cytochrome P450 26C1|,P10276|P19793|P10826|P28702|P13631|P48443|P17936|Q15238|Q6V0L0|,RARA|RXRA|RARB|RXRB|RARG|RXRG|IGFBP3|PSG5|CYP26C1|
DB00524,Metolazone,Solute carrier family 12 member 3|,P55017|,SLC12A3|
DB00525,Tolnaftate,,,
DB00526,Oxaliplatin,DNA|,,
DB00527,Cinchocaine,Sodium channel protein type 10 subunit alpha|Sodium channel protein type 5 subunit alpha|Calmodulin|,Q9Y5Y9|Q14524|P0DP23|,SCN10A|SCN5A|CALM1|
DB00528,Lercanidipine,Voltage-dependent calcium channel gamma-1 subunit|,Q06432|,CACNG1|
DB00529,Foscarnet,,,
DB00530,Erlotinib,Epidermal growth factor receptor|Nuclear receptor subfamily 1 group I member 2|,P00533|O75469|,EGFR|NR1I2|
DB00531,Cyclophosphamide,DNA|Nuclear receptor subfamily 1 group I member 2|,O75469|,NR1I2|
DB00532,Mephenytoin,Sodium channel protein type 5 subunit alpha|Nuclear receptor subfamily 1 group I member 2|,Q14524|O75469|,SCN5A|NR1I2|
DB00533,Rofecoxib,Prostaglandin G/H synthase 2|Elastin|,P35354|P15502|,PTGS2|ELN|
DB00534,Chlormerodrin,"Solute carrier family 12 member 1|Succinate-semialdehyde dehydrogenase, mitochondrial|",Q13621|P51649|,SLC12A1|ALDH5A1|
DB00535,Cefdinir,Myeloperoxidase|,P05164|,MPO|
DB00536,Guanidine,"Guanidinoacetate N-methyltransferase|Ribonuclease pancreatic|DNA|Disks large homolog 4|Aldehyde dehydrogenase, mitochondrial|",Q14353|P07998|P78352|P05091|,GAMT|RNASE1|DLG4|ALDH2|
DB00537,Ciprofloxacin,DNA topoisomerase 2-alpha|Potassium voltage-gated channel subfamily H member 2|,P11388|Q12809|,TOP2A|KCNH2|
DB00538,Gadoversetamide,,,
DB00539,Toremifene,Estrogen receptor alpha|Sex hormone-binding globulin|,P03372|P04278|,ESR1|SHBG|
DB00540,Nortriptyline,Sodium-dependent noradrenaline transporter|Sodium-dependent serotonin transporter|5-hydroxytryptamine receptor 2A|5-hydroxytryptamine receptor 1A|Histamine H1 receptor|Alpha-1A adrenergic receptor|Alpha-1D adrenergic receptor|5-hydroxytryptamine receptor 2C|Alpha-1B adrenergic receptor|Alpha-2 adrenergic receptors|Beta adrenergic receptor|Dopamine D2 receptor|Sigma receptor|Muscarinic acetylcholine receptor|,P23975|P31645|P28223|P08908|P35367|P35348|P25100|P28335|P35368|P08913|P18089|P18825|P08588|P07550|P13945|P14416|O00264|Q99720|P11229|P08172|P20309|P08173|P08912|,SLC6A2|SLC6A4|HTR2A|HTR1A|HRH1|ADRA1A|ADRA1D|HTR2C|ADRA1B|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|DRD2|PGRMC1|SIGMAR1|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|
DB00541,Vincristine,Tubulin beta chain|Tubulin alpha-4A chain|,P07437|P68366|,TUBB|TUBA4A|
DB00542,Benazepril,Angiotensin-converting enzyme|,P12821|,ACE|
DB00543,Amoxapine,Sodium-dependent noradrenaline transporter|Sodium-dependent serotonin transporter|Dopamine D2 receptor|Dopamine D1 receptor|Alpha-2A adrenergic receptor|Alpha-1A adrenergic receptor|Muscarinic acetylcholine receptor M1|Gamma-aminobutyric acid receptor subunit alpha-1|5-hydroxytryptamine receptor 2A|5-hydroxytryptamine receptor 2C|5-hydroxytryptamine receptor 6|5-hydroxytryptamine receptor 7|Dopamine D3 receptor|Dopamine D4 receptor|Histamine H1 receptor|Alpha-1 adrenergic receptors|Muscarinic acetylcholine receptor|5-hydroxytryptamine receptor 2B|5-hydroxytryptamine receptor 3A|5-hydroxytryptamine receptor 1A|5-hydroxytryptamine receptor 1B|Alpha-2 adrenergic receptors|Histamine H4 receptor|GABA(A) Receptor|Sodium-dependent dopamine transporter|,P23975|P31645|P14416|P21728|P08913|P35348|P11229|P14867|P28223|P28335|P50406|P34969|P35462|P21917|P35367|P35348|P35368|P25100|P11229|P08172|P20309|P08173|P08912|P41595|P46098|P08908|P28222|P08913|P18089|P18825|Q9H3N8|P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88|Q01959|,SLC6A2|SLC6A4|DRD2|DRD1|ADRA2A|ADRA1A|CHRM1|GABRA1|HTR2A|HTR2C|HTR6|HTR7|DRD3|DRD4|HRH1|ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HTR2B|HTR3A|HTR1A|HTR1B|ADRA2A|ADRA2B|ADRA2C|HRH4|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|SLC6A3|
DB00544,Fluorouracil,Thymidylate synthase|DNA|RNA|,P04818|,TYMS|
DB00545,Pyridostigmine,Acetylcholinesterase|Cholinesterase|Serum albumin|,P22303|P06276|P02768|,ACHE|BCHE|ALB|
DB00546,Adinazolam,GABA(A) Receptor|GABA(A) Receptor Benzodiazepine Binding Site|,P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88|P14867|P47869|P34903|P31644|Q8N1C3|P18507|Q99928|,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GABRA1|GABRA2|GABRA3|GABRA5|GABRG1|GABRG2|GABRG3|
DB00547,Desoximetasone,Glucocorticoid receptor|,P04150|,NR3C1|
DB00548,Azelaic acid,3-oxo-5-beta-steroid 4-dehydrogenase|3-oxo-5-alpha-steroid 4-dehydrogenase 2|Tyrosinase|,P51857|P31213|P14679|,AKR1D1|SRD5A2|TYR|
DB00549,Zafirlukast,Cysteinyl leukotriene receptor 1|,Q9Y271|,CYSLTR1|
DB00550,Propylthiouracil,Thyroid peroxidase|,P07202|,TPO|
DB00551,Acetohydroxamic acid,Macrophage metalloelastase|,P39900|,MMP12|
DB00552,Pentostatin,Adenosine deaminase|,P00813|,ADA|
DB00553,Methoxsalen,DNA|,,
DB00554,Piroxicam,Prostaglandin G/H synthase 2|Prostaglandin G/H synthase 1|,P35354|P23219|,PTGS2|PTGS1|
DB00555,Lamotrigine,Voltage-dependent R-type calcium channel subunit alpha-1E (CACNA1E)|Voltage-gated sodium channel alpha subunit|Adenosine receptor A1|Adenosine receptor A2a|Alpha-1A adrenergic receptor|Alpha-2A adrenergic receptor|Beta-1 adrenergic receptor|D(1) dopamine receptor|Dopamine D2 receptor|GABA(A) Receptor|GABA(A) Receptor Benzodiazepine Binding Site|Histamine H1 receptor|Kappa-type opioid receptor|Acetylcholine receptor subunit alpha|5-hydroxytryptamine receptor 2A|5-hydroxytryptamine receptor 3A|Glutamate receptor 1|,Q15878|P35498|Q9Y5Y9|Q9UI33|Q99250|Q9NY46|P35499|Q14524|Q01118|Q9UQD0|Q15858|P30542|P29274|P35348|P08913|P08588|P21728|P21918|P14416|P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88|P14867|P47869|P34903|P31644|Q8N1C3|P18507|Q99928|P35367|P41145|P02708|P28223|P46098|P42261|,CACNA1E|SCN1A|SCN10A|SCN11A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A|ADORA1|ADORA2A|ADRA1A|ADRA2A|ADRB1|DRD1|DRD5|DRD2|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GABRA1|GABRA2|GABRA3|GABRA5|GABRG1|GABRG2|GABRG3|HRH1|OPRK1|CHRNA1|HTR2A|HTR3A|GRIA1|
DB00556,Perflutren,,,
DB00557,Hydroxyzine,Histamine H1 receptor|Potassium voltage-gated channel subfamily H member 2|,P35367|Q12809|,HRH1|KCNH2|
DB00558,Zanamivir,Sialidase-2|,Q9Y3R4|,NEU2|
DB00559,Bosentan,Endothelin-1 receptor|Endothelin B receptor|,P25101|P24530|,EDNRA|EDNRB|
DB00560,Tigecycline,,,
DB00561,Doxapram,Potassium channel subfamily K member 3|Potassium channel subfamily K member 9|,O14649|Q9NPC2|,KCNK3|KCNK9|
DB00562,Benzthiazide,Solute carrier family 12 member 3|Carbonic anhydrase 1|Carbonic anhydrase 2|Carbonic anhydrase 4|Carbonic anhydrase 9|Carbonic anhydrase 12|Carbonic anhydrase|,P55017|P00915|P00918|P22748|Q16790|O43570|P00915|Q8N1Q1|Q9ULX7|P00918|P07451|P22748|P35218|Q9Y2D0|P23280|P43166|Q16790|,SLC12A3|CA1|CA2|CA4|CA9|CA12|CA1|CA13|CA14|CA2|CA3|CA4|CA5A|CA5B|CA6|CA7|CA9|
DB00563,Methotrexate,Dihydrofolate reductase|Thymidylate synthase|Bifunctional purine biosynthesis protein PURH|,P00374|P04818|P31939|,DHFR|TYMS|ATIC|
DB00564,Carbamazepine,Voltage-gated sodium channel alpha subunit|Neuronal acetylcholine receptor subunit alpha-4|Nuclear receptor subfamily 1 group I member 2|,P35498|Q9Y5Y9|Q9UI33|Q99250|Q9NY46|P35499|Q14524|Q01118|Q9UQD0|Q15858|P43681|O75469|,SCN1A|SCN10A|SCN11A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A|CHRNA4|NR1I2|
DB00565,Cisatracurium,Neuronal acetylcholine receptor subunit alpha-2|,Q15822|,CHRNA2|
DB00566,Succimer,Lead|Mercury|Cadmium|Arsenic|,,
DB00567,Cephalexin,,,
DB00568,Cinnarizine,Histamine H1 receptor|Voltage-dependent L-type calcium channel subunit alpha-1C|Voltage-dependent L-type calcium channel subunit alpha-1D|Voltage-dependent L-type calcium channel subunit alpha-1F|Voltage-dependent L-type calcium channel subunit alpha-1S|Voltage-dependent T-type calcium channel subunit alpha-1G|Voltage-dependent T-type calcium channel subunit alpha-1H|Voltage-dependent T-type calcium channel subunit alpha-1I|Dopamine D2 receptor|D(1) dopamine receptor|Muscarinic acetylcholine receptor|,P35367|Q13936|Q01668|O60840|Q13698|O43497|O95180|Q9P0X4|P14416|P21728|P21918|P11229|P08172|P20309|P08173|P08912|,HRH1|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA1G|CACNA1H|CACNA1I|DRD2|DRD1|DRD5|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|
DB00569,Fondaparinux,Antithrombin-III|Coagulation factor X|,P01008|P00742|,SERPINC1|F10|
DB00570,Vinblastine,Tubulin alpha-1A chain|Tubulin beta chain|Tubulin delta chain|Tubulin gamma-1 chain|Tubulin epsilon chain|Transcription factor AP-1|,Q71U36|P07437|Q9UJT1|P23258|Q9UJT0|P05412|,TUBA1A|TUBB|TUBD1|TUBG1|TUBE1|JUN|
DB00571,Propranolol,Beta-1 adrenergic receptor|Beta-2 adrenergic receptor|Beta-3 adrenergic receptor|5-hydroxytryptamine receptor 1A|5-hydroxytryptamine receptor 1B|,P08588|P07550|P13945|P08908|P28222|,ADRB1|ADRB2|ADRB3|HTR1A|HTR1B|
DB00572,Atropine,Muscarinic acetylcholine receptor M1|Muscarinic acetylcholine receptor M2|Muscarinic acetylcholine receptor M3|Muscarinic acetylcholine receptor M4|Muscarinic acetylcholine receptor M5|Glycine receptor subunit alpha-1|Neuronal acetylcholine receptor subunit alpha-4|Neuronal acetylcholine receptor subunit beta-2|,P11229|P08172|P20309|P08173|P08912|P23415|P43681|P17787|,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|GLRA1|CHRNA4|CHRNB2|
DB00573,Fenoprofen,Prostaglandin G/H synthase 2|Prostaglandin G/H synthase 1|Peroxisome proliferator-activated receptor alpha|Peroxisome proliferator-activated receptor gamma|,P35354|P23219|Q07869|P37231|,PTGS2|PTGS1|PPARA|PPARG|
DB00574,Fenfluramine,Sodium-dependent serotonin transporter|5-hydroxytryptamine receptor 1D|5-hydroxytryptamine receptor 2C|Sigma non-opioid intracellular receptor 1|5-hydroxytryptamine receptor 2A|5-hydroxytryptamine receptor 2B|5-hydroxytryptamine receptor 1A|,P31645|P28221|P28335|Q99720|P28223|P41595|P08908|,SLC6A4|HTR1D|HTR2C|SIGMAR1|HTR2A|HTR2B|HTR1A|
DB00575,Clonidine,Alpha-2A adrenergic receptor|Alpha-2B adrenergic receptor|Alpha-2C adrenergic receptor|Alpha-1A adrenergic receptor|Alpha-1B adrenergic receptor|Alpha-1D adrenergic receptor|,P08913|P18089|P18825|P35348|P35368|P25100|,ADRA2A|ADRA2B|ADRA2C|ADRA1A|ADRA1B|ADRA1D|
DB00576,Sulfamethizole,,,
DB00577,Valaciclovir,,,
DB00578,Carbenicillin,,,
DB00579,Mazindol,Sodium-dependent noradrenaline transporter|Sodium-dependent dopamine transporter|Sodium-dependent serotonin transporter|Synaptic vesicular amine transporter|,P23975|Q01959|P31645|Q05940|,SLC6A2|SLC6A3|SLC6A4|SLC18A2|
DB00580,Valdecoxib,Prostaglandin G/H synthase 2|Carbonic anhydrase 2|Carbonic anhydrase 3|,P35354|P00918|P07451|,PTGS2|CA2|CA3|
DB00581,Lactulose,,,
DB00582,Voriconazole,,,
DB00583,Levocarnitine,"Solute carrier family 22 member 4|Solute carrier family 22 member 5|Carnitine O-acetyltransferase|Mitochondrial carnitine/acylcarnitine carrier protein CACL|Mitochondrial carnitine/acylcarnitine carrier protein|Peroxisomal carnitine O-octanoyltransferase|Carnitine O-palmitoyltransferase 2, mitochondrial|Carnitine O-palmitoyltransferase 1, liver isoform|Xanthine dehydrogenase/oxidase|Liver carboxylesterase 1|Myeloperoxidase|",Q9H015|O76082|P43155|Q8N8R3|O43772|Q9UKG9|P23786|P50416|P47989|P23141|P05164|,SLC22A4|SLC22A5|CRAT|SLC25A29|SLC25A20|CROT|CPT2|CPT1A|XDH|CES1|MPO|
DB00584,Enalapril,Angiotensin-converting enzyme|,P12821|,ACE|
DB00585,Nizatidine,Histamine H2 receptor|,P25021|,HRH2|
DB00586,Diclofenac,Prostaglandin G/H synthase 2|Prostaglandin G/H synthase 1|,P35354|P23219|,PTGS2|PTGS1|
DB00587,Cinalukast,Cysteinyl leukotriene receptor 1|,Q9Y271|,CYSLTR1|
DB00588,Fluticasone propionate,Glucocorticoid receptor|Progesterone receptor|Cytosolic phospholipase A2|Mineralocorticoid receptor|,P04150|P06401|P47712|P08235|,NR3C1|PGR|PLA2G4A|NR3C2|
DB00589,Lisuride,Dopamine D2 receptor|Dopamine D3 receptor|Dopamine D4 receptor|Dopamine D1 receptor|Dopamine D5 receptor|5-hydroxytryptamine receptor 1A|5-hydroxytryptamine receptor 1D|5-hydroxytryptamine receptor 2B|5-hydroxytryptamine receptor 2A|5-hydroxytryptamine receptor 2C|5-hydroxytryptamine receptor 1B|Alpha-2A adrenergic receptor|Alpha-2B adrenergic receptor|Alpha-2C adrenergic receptor|5-hydroxytryptamine receptor 7|,P14416|P35462|P21917|P21728|P21918|P08908|P28221|P41595|P28223|P28335|P28222|P08913|P18089|P18825|P34969|,DRD2|DRD3|DRD4|DRD1|DRD5|HTR1A|HTR1D|HTR2B|HTR2A|HTR2C|HTR1B|ADRA2A|ADRA2B|ADRA2C|HTR7|
